,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,Y house price of unit area
42,2013.25,35.8,170.7311,7.0,24.96719,121.54269,48.5
43,2013.333,37.3,587.8877,8.0,24.97077,121.54634,37.4
44,2013.583,32.1,1438.579,3.0,24.97419,121.5175,27.0
45,2012.667,3.1,577.9615,6.0,24.97201,121.54722,47.7
46,2012.667,3.1,383.8624,5.0,24.98085,121.54391,56.2
47,2013.417,14.7,1717.193,2.0,24.96447,121.51649,23.0
48,2013.417,11.9,3171.329,0.0,25.00115,121.51776,46.6
49,2013.083,7.1,451.2438,5.0,24.97563,121.54694,57.1
50,2013.333,9.0,1402.016,0.0,24.98569,121.5276,38.5
51,2013.083,4.8,1559.827,3.0,24.97213,121.51627,21.7
52,2013.5,14.4,,1.0,24.97369,121.52979,50.2
53,2013.5,32.3,109.9455,10.0,24.98182,121.54086,48.0
54,2013.5,16.5,2288.011,3.0,24.95885,121.51359,23.2
55,2012.75,16.0,4066.587,0.0,24.94297,121.50342,11.6
56,2013.417,3.5,757.3377,3.0,24.97538,121.54971,36.7
57,2013.333,25.6,4519.69,0.0,24.94826,121.49587,15.6
58,2012.667,26.9,4449.27,0.0,24.94898,121.49621,15.5
59,2013.5,13.5,2147.376,,24.96299,121.51284,23.6
60,2013.5,18.1,837.7233,0.0,24.96334,121.54767,29.7
61,2012.667,1.5,23.38284,7.0,24.96772,121.54102,47.7
62,2013.25,22.2,379.5575,10.0,24.98343,121.53762,44.0
63,2013.5,34.6,3085.17,0.0,24.998,121.5155,41.2
64,2013.25,34.4,126.7286,8.0,24.96881,121.54089,48.2
65,2013.583,35.7,579.2083,2.0,24.9824,121.54619,50.5
66,2012.833,16.2,4074.736,0.0,24.94235,121.50357,14.7
67,2012.667,23.0,130.9945,6.0,24.95663,121.53765,37.2
68,2012.917,14.7,1935.009,2.0,24.96386,121.51458,22.9
69,2013.083,3.6,383.8624,5.0,24.98085,121.54391,58.8
70,2012.833,10.3,3079.89,0.0,24.9546,121.56627,24.7
71,2013.0,19.2,461.1016,5.0,24.95425,121.5399,32.9
72,2012.667,1.1,329.9747,5.0,24.98254,121.54395,51.8
73,2013.083,6.2,90.45606,,24.97433,121.5431,58.0
74,2013.0,16.9,967.4,4.0,24.98872,121.53408,40.3
75,2013.25,34.6,272.6783,5.0,24.95562,121.53872,26.9
76,2013.25,17.3,444.1334,1.0,24.97501,121.5273,43.9
77,2012.917,16.3,4066.587,0.0,24.94297,121.50342,20.5
78,2013.5,4.0,2147.376,3.0,24.96299,121.51284,33.4
79,2013.083,30.2,472.1745,3.0,24.97005,121.53758,36.5
80,2013.25,30.3,1264.73,0.0,24.94883,121.52954,19.1
81,2012.917,3.5,56.47425,7.0,24.95744,121.53711,53.5
82,2013.083,31.3,1758.406,1.0,24.95402,121.55282,20.7
83,2013.083,16.1,289.3248,5.0,24.98203,121.54348,51.7
84,2012.75,15.4,205.367,7.0,24.98419,121.54243,55.1
85,2013.0,12.9,187.4823,1.0,24.97388,121.52981,33.1
86,2012.667,7.1,2175.03,3.0,24.96305,121.51254,32.1
87,2013.417,32.8,204.1705,8.0,24.98236,121.53923,48.2
88,2013.25,6.5,,6.0,24.95418,121.53713,40.9
89,2013.333,34.5,324.9419,6.0,24.97814,121.5417,46.0
90,2013.5,32.8,377.8302,9.0,24.97151,121.5435,38.6
91,2013.083,32.0,1156.777,0.0,24.94935,121.53046,12.8
92,2013.083,16.2,,5.0,24.98203,121.54348,55.0
93,2013.083,10.1,279.1726,7.0,24.97528,121.54541,47.9
94,2012.917,15.0,383.2805,7.0,24.96735,121.54464,34.4
95,2013.5,13.6,492.2313,5.0,24.96515,121.53737,48.0
96,2013.167,13.3,492.2313,5.0,24.96515,121.53737,31.3
97,2013.5,13.1,1144.436,4.0,24.99176,121.53456,36.7
98,2012.917,13.0,492.2313,5.0,24.96515,121.53737,39.3
99,2013.083,1.1,193.5845,6.0,24.96571,121.54089,54.4
100,2012.75,34.4,512.7871,6.0,24.98748,121.54301,34.1
101,2013.417,16.4,289.3248,5.0,24.98203,121.54348,51.0
102,2013.25,1.1,193.5845,6.0,24.96571,121.54089,49.0
103,2013.0,19.1,461.1016,5.0,24.95425,121.5399,34.0
104,2013.5,16.4,3780.59,0.0,24.93293,121.51203,45.1
105,2013.5,4.0,2147.376,3.0,24.96299,121.51284,30.7
106,2013.417,21.7,463.9623,9.0,24.9703,121.54458,42.0
107,2012.833,5.1,1867.233,2.0,24.98407,121.51748,35.6
108,2013.583,35.9,616.4004,3.0,24.97723,121.53767,36.8
109,2013.5,4.1,312.8963,5.0,24.95591,121.53956,51.7
110,2013.583,27.3,337.6016,,24.96431,121.54063,36.5
111,2013.25,9.1,1402.016,0.0,24.98569,121.5276,42.3
112,2013.167,11.6,201.8939,,24.98489,121.54121,55.9
113,2012.833,15.7,815.9314,4.0,24.97886,121.53464,38.1
114,2013.0,5.2,2408.993,0.0,24.95505,121.55964,22.3
115,2013.583,2.7,533.4762,4.0,24.97445,121.54765,53.9
116,2013.417,13.1,,5.0,24.98746,121.54391,45.9
117,2013.5,38.3,439.7105,0.0,24.97161,121.53423,38.4
118,2012.667,29.1,506.1144,4.0,24.97845,121.53889,40.3
119,2013.083,38.6,804.6897,4.0,24.97838,121.53477,62.9
120,2012.667,5.7,90.45606,9.0,24.97433,121.5431,53.5
121,2012.833,0.0,185.4296,0.0,24.9711,121.5317,55.3
122,2013.5,,616.5735,8.0,24.97945,121.53642,42.3
123,2013.5,26.4,335.5273,6.0,24.9796,121.5414,38.1
124,2013.417,40.1,123.7429,8.0,24.97635,121.54329,44.3
125,2013.333,0.0,292.9978,6.0,24.97744,121.54458,69.7
126,2013.083,8.1,104.8101,5.0,24.96674,121.54067,51.6
127,2013.083,37.7,490.3446,0.0,24.97217,121.53471,37.0
128,2013.167,16.2,289.3248,5.0,24.98203,121.54348,46.2
129,2013.083,15.6,1756.411,2.0,24.9832,121.51812,27.3
130,2013.417,12.2,1360.139,1.0,24.95204,121.54842,30.1
131,2012.75,15.6,752.7669,2.0,24.97795,121.53451,37.5
132,2012.833,13.9,4573.779,0.0,24.94867,121.49507,19.2
133,2013.25,16.1,815.9314,4.0,24.97886,121.53464,35.6
134,2013.25,16.2,2103.555,3.0,24.96042,121.51462,25.6
135,2012.917,19.5,306.5947,9.0,24.98034,121.53951,42.2
136,2013.583,4.0,2147.376,3.0,24.96299,121.51284,28.4
137,2012.667,34.5,623.4731,7.0,24.97933,121.53642,40.3
138,2012.917,3.5,49.66105,8.0,24.95836,121.53756,57.8
139,2013.0,1.0,193.5845,6.0,24.96571,121.54089,50.7
140,2012.667,14.6,339.2289,1.0,24.97519,121.53151,26.5
141,2013.083,41.4,281.205,8.0,24.97345,121.54093,63.3
142,2013.25,9.1,1402.016,0.0,24.98569,121.5276,43.2
143,2013.083,13.2,150.9347,7.0,24.96725,121.54252,48.1
144,2013.25,31.5,414.9476,4.0,24.98199,121.54464,32.5
145,2013.25,16.5,323.655,6.0,24.97841,121.54281,49.3
146,2013.0,13.0,750.0704,2.0,24.97371,121.54951,37.0
147,2012.75,16.1,4066.587,0.0,24.94297,121.50342,12.9
148,2013.083,27.6,515.1122,5.0,24.96299,121.5432,37.4
149,2013.0,30.9,6396.283,1.0,24.94375,121.47883,12.2
150,2013.333,3.9,49.66105,8.0,24.95836,121.53756,56.8
151,2013.083,13.3,492.2313,5.0,24.96515,121.53737,38.9
152,2013.417,4.5,2275.877,3.0,24.96314,121.51151,29.3
153,2012.75,11.4,390.5684,5.0,24.97937,121.54245,46.8
154,2012.917,21.2,512.5487,4.0,24.974,121.53842,42.5
155,2012.75,15.9,289.3248,5.0,24.98203,121.54348,42.1
156,2012.75,29.6,769.4034,7.0,24.98281,121.53408,25.0
157,2012.75,31.4,1447.286,3.0,24.97285,121.5173,21.5
158,2013.333,17.6,1805.665,2.0,24.98672,121.52091,31.1
159,2012.75,37.9,488.5727,1.0,24.97349,121.53451,34.2
160,2013.5,13.7,250.631,7.0,24.96606,121.54297,41.4
161,2013.0,33.5,563.2854,8.0,24.98223,121.53597,46.6
162,2012.917,31.7,1159.454,0.0,24.9496,121.53018,13.8
163,2013.583,17.4,6488.021,1.0,24.95719,121.47353,11.2
164,2013.417,2.6,1554.25,3.0,24.97026,121.51642,31.1
165,2013.417,9.9,2102.427,3.0,24.96044,121.51462,23.1
166,2013.417,,1978.671,2.0,24.98674,121.51844,23.5
167,2013.5,15.2,3771.895,0.0,24.93363,121.51158,29.3
168,2013.417,13.2,1712.632,2.0,24.96412,121.5167,30.8
169,2013.167,12.0,1360.139,1.0,24.95204,121.54842,25.3
170,2013.167,39.8,617.7134,2.0,24.97577,121.53475,39.6
171,2012.75,29.3,529.7771,8.0,24.98102,121.53655,40.2
172,2012.833,18.4,2674.961,,24.96143,121.50827,25.7
173,2013.417,31.4,592.5006,2.0,24.9726,121.53561,34.1
174,2013.167,13.2,750.0704,2.0,24.97371,121.54951,37.8
175,2012.75,17.7,350.8515,1.0,24.97544,121.53119,37.4
176,2012.75,14.2,1801.544,1.0,24.95153,121.55254,24.8
177,2012.833,34.9,567.0349,4.0,24.97003,121.5458,28.5
178,2013.5,5.2,390.5684,,24.97937,121.54245,52.2
179,2013.333,4.7,387.7721,9.0,24.98118,121.53788,44.8
180,2013.0,19.0,1009.235,0.0,24.96357,121.54951,22.3
181,2012.75,0.0,338.9679,9.0,24.96853,121.54413,50.8
182,2013.0,22.8,707.9067,2.0,24.981,121.54713,36.6
183,2012.667,30.6,143.8383,8.0,24.98155,121.54142,53.3
184,2013.0,18.0,1414.837,1.0,24.95182,121.54887,26.6
185,2013.417,13.6,492.2313,,24.96515,121.53737,43.8
186,2013.25,3.8,383.8624,5.0,24.98085,121.54391,60.7
187,2013.083,17.7,837.7233,0.0,24.96334,121.54767,28.8
188,2013.083,33.0,181.0766,9.0,24.97697,121.54262,42.0
189,2013.083,29.3,1487.868,2.0,24.97542,121.51726,27.0
190,2013.333,10.8,252.5822,1.0,24.9746,121.53046,117.5
191,2012.917,14.7,1360.139,1.0,24.95204,121.54842,24.6
192,2012.917,5.9,90.45606,9.0,24.97433,121.5431,56.3
193,2012.667,29.4,4510.359,1.0,24.94925,121.49542,13.2
194,2013.083,20.6,737.9161,2.0,24.98092,121.54739,46.4
195,2013.0,13.6,4082.015,0.0,24.94155,121.50381,15.9
196,2012.667,12.9,,5.0,24.96515,121.53737,42.5
197,2013.333,8.3,104.8101,5.0,24.96674,121.54067,42.8
198,2013.333,14.8,393.2606,6.0,24.96172,121.53812,7.6
199,2013.167,13.0,732.8528,0.0,24.97668,121.52518,39.0
200,2013.0,8.9,3078.176,0.0,24.95464,121.56627,22.0
201,2013.0,13.6,4197.349,0.0,24.93885,121.50383,19.2
202,2012.917,38.3,642.6985,3.0,24.97559,121.53713,31.5
203,2013.083,12.8,1449.722,3.0,24.97289,121.51728,21.4
204,2013.0,8.1,104.8101,5.0,24.96674,121.54067,52.5
205,2012.917,34.8,190.0392,8.0,24.97707,121.54312,44.3
206,2012.917,15.9,289.3248,5.0,24.98203,121.54348,53.0
207,2013.0,13.2,492.2313,5.0,24.96515,121.53737,42.3
208,2013.167,10.0,942.4664,0.0,24.97843,121.52406,43.5
209,2013.333,,90.45606,9.0,24.97433,121.5431,58.1
210,2013.5,5.3,259.6607,6.0,24.97585,121.54516,63.2
211,2012.833,34.7,482.7581,5.0,24.97433,121.53863,41.1
212,2013.083,41.3,401.8807,,24.98326,121.5446,35.1
213,2013.417,6.4,90.45606,9.0,24.97433,121.5431,59.5
214,2013.083,7.6,2175.03,3.0,24.96305,121.51254,27.7
215,2013.333,5.1,1559.827,3.0,24.97213,121.51627,28.9
216,2013.583,32.5,424.5442,8.0,24.97587,121.53913,36.3
217,2012.667,0.0,185.4296,0.0,24.9711,121.5317,37.9
218,2012.667,5.6,90.45606,9.0,24.97433,121.5431,50.0
219,2012.667,12.6,383.2805,7.0,24.96735,121.54464,42.5
220,2013.417,35.3,614.1394,7.0,24.97913,121.53666,33.1
221,2013.583,13.3,561.9845,5.0,24.98746,121.54391,47.3
222,2013.333,21.7,1055.067,0.0,24.96211,121.54928,23.1
223,2013.083,17.2,189.5181,,24.97707,121.54308,47.1
224,2013.333,16.4,289.3248,,24.98203,121.54348,41.2
225,2013.0,33.9,157.6052,7.0,24.96628,121.54196,41.5
226,2012.833,34.8,175.6294,8.0,24.97347,121.54271,40.9
227,2013.417,0.0,292.9978,6.0,24.97744,121.54458,73.6
228,2013.083,0.0,274.0144,1.0,24.9748,121.53059,52.2
229,2012.833,15.9,1497.713,3.0,24.97003,121.51696,23.6
230,2013.0,18.3,82.88643,10.0,24.983,121.54026,46.6
231,2012.75,7.8,104.8101,5.0,24.96674,121.54067,47.0
232,2013.0,30.8,377.7956,6.0,24.96427,121.53964,36.8
233,2013.5,11.8,533.4762,4.0,24.97445,121.54765,40.3
234,2013.167,1.1,193.5845,6.0,24.96571,121.54089,48.6
235,2013.25,29.6,535.527,8.0,24.98092,121.53653,37.5
236,2013.25,3.7,577.9615,6.0,24.97201,121.54722,41.6
237,2012.833,18.0,373.3937,,24.9866,121.54082,39.5
238,2013.0,11.6,390.5684,5.0,24.97937,121.54245,39.4
239,2013.167,13.8,4082.015,0.0,24.94155,121.50381,20.0
240,2013.5,32.6,4136.271,1.0,24.95544,121.4963,24.7
241,2013.083,42.7,443.802,6.0,24.97927,121.53874,35.3
242,2013.417,21.7,512.5487,4.0,24.974,121.53842,44.2
243,2012.833,4.0,2180.245,3.0,24.96324,121.51241,28.6
244,2013.083,36.6,488.8193,8.0,24.97015,121.54494,38.1
245,2013.083,15.1,383.2805,7.0,24.96735,121.54464,43.7
246,2013.25,17.0,,4.0,24.97073,121.517,30.7
247,2012.75,14.1,2615.465,0.0,24.95495,121.56174,21.8
248,2013.333,7.1,379.5575,10.0,24.98343,121.53762,49.8
249,2012.833,0.0,292.9978,6.0,24.97744,121.54458,71.0
250,2013.0,13.6,4197.349,0.0,24.93885,121.50383,13.0
251,2013.333,,333.3679,,24.98016,121.53932,32.4
252,2012.75,13.5,4197.349,0.0,24.93885,121.50383,18.6
253,2013.5,23.0,3947.945,0.0,24.94783,121.50243,25.3
254,2012.917,32.4,265.0609,8.0,24.98059,121.53986,40.2
255,2013.417,33.6,371.2495,8.0,24.97254,121.54059,41.9
256,2012.833,12.7,170.1289,1.0,24.97371,121.52984,32.9
257,2013.5,4.1,56.47425,7.0,24.95744,121.53711,62.1
258,2013.167,26.6,482.7581,5.0,24.97433,121.53863,37.5
259,2013.333,33.6,270.8895,0.0,24.97281,121.53265,42.9
260,2013.333,13.9,289.3248,5.0,24.98203,121.54348,44.5
261,2013.083,28.4,617.4424,3.0,24.97746,121.53299,34.6
262,2013.417,36.1,519.4617,5.0,24.96305,121.53758,34.7
263,2013.583,16.9,4066.587,0.0,24.94297,121.50342,18.3
264,2013.5,4.9,387.7721,9.0,24.98118,121.53788,44.7
265,2012.833,31.3,600.8604,5.0,24.96871,121.54651,30.9
266,2013.583,35.9,640.7391,3.0,24.97563,121.53715,61.5
267,2013.5,10.4,2251.938,4.0,24.95957,121.51353,27.3
268,2013.167,20.9,2185.128,3.0,24.96322,121.51237,25.7
269,2013.167,32.6,493.657,7.0,24.96968,121.54522,40.6
270,2013.167,33.2,121.7262,10.0,24.98178,121.54059,46.1
271,2013.583,30.7,1264.73,0.0,24.94883,121.52954,18.3
272,2013.417,28.2,330.0854,8.0,24.97408,121.54011,43.4
273,2012.667,30.4,1735.595,2.0,24.96464,121.51623,25.9
274,2013.083,14.0,,1.0,24.97493,121.5273,42.6
275,2013.333,16.7,4082.015,0.0,24.94155,121.50381,16.7
276,2013.5,25.9,4519.69,0.0,24.94826,121.49587,22.1
277,2013.417,16.9,368.1363,8.0,24.9675,121.54451,42.3
278,2012.667,30.9,161.942,,24.98353,121.53966,39.7
279,2013.5,31.7,5512.038,1.0,24.95095,121.48458,18.8
280,2013.0,16.5,4082.015,0.0,24.94155,121.50381,12.8
281,2012.917,20.6,2469.645,4.0,24.96108,121.51046,21.8
282,2012.917,27.1,4412.765,1.0,24.95032,121.49587,17.4
283,2013.583,6.2,1939.749,1.0,24.95155,121.55387,31.3
284,2013.417,0.0,292.9978,6.0,24.97744,121.54458,63.3
285,2013.25,0.0,292.9978,6.0,24.97744,121.54458,70.1
286,2013.333,37.2,186.5101,9.0,24.97703,121.54265,78.3
287,2012.917,12.7,170.1289,1.0,24.97371,121.52984,37.3
288,2013.083,38.5,665.0636,3.0,24.97503,121.53692,34.2
289,2012.917,25.3,2707.392,3.0,24.96056,121.50831,17.7
290,2013.083,11.0,1712.632,2.0,24.96412,121.5167,28.8
291,2012.75,11.5,1360.139,1.0,24.95204,121.54842,26.2
292,2013.083,13.3,336.0532,5.0,24.95776,121.53438,42.4
293,2013.333,15.2,461.1016,5.0,24.95425,121.5399,34.6
294,2013.5,16.6,289.3248,5.0,24.98203,121.54348,59.6
295,2013.5,16.9,4066.587,0.0,24.94297,121.50342,20.7
296,2013.25,18.8,390.9696,7.0,24.97923,121.53986,40.6
297,2013.417,24.2,4605.749,0.0,24.94684,121.49578,13.4
298,2013.0,18.0,1414.837,1.0,24.95182,121.54887,26.5
299,2013.5,30.3,4510.359,1.0,24.94925,121.49542,22.6
300,2013.167,3.6,373.8389,10.0,24.98322,121.53765,61.9
301,2013.333,24.0,4527.687,0.0,24.94741,121.49628,14.4
302,2013.417,0.0,338.9679,9.0,24.96853,121.54413,44.9
303,2013.167,1.9,372.1386,7.0,24.97293,121.54026,40.5
304,2013.583,16.6,323.6912,6.0,24.97841,121.5428,51.0
305,2013.417,19.8,640.6071,5.0,24.97017,121.54647,37.5
306,2013.25,13.3,250.631,7.0,24.96606,121.54297,42.0
307,2013.5,6.5,90.45606,9.0,24.97433,121.5431,63.9
308,2013.5,13.6,319.0708,6.0,24.96495,121.54277,47.4
309,2013.583,31.0,1156.412,0.0,24.9489,121.53095,19.0
310,2013.417,13.1,1164.838,4.0,24.99156,121.53406,32.2
311,2013.417,20.3,287.6025,6.0,24.98042,121.54228,46.7
312,2012.917,32.0,84.87882,10.0,24.98298,121.54024,37.9
313,2013.583,33.3,196.6172,7.0,24.97701,121.54224,39.4
314,2013.083,35.5,640.7391,3.0,24.97563,121.53715,40.8
315,2012.667,,179.4538,8.0,24.97349,121.54245,39.7
316,2012.833,31.7,1160.632,0.0,24.94968,121.53009,13.7
317,2012.833,5.9,90.45606,9.0,24.97433,121.5431,52.7
318,2013.5,12.3,1360.139,1.0,24.95204,121.54842,29.5
319,2013.167,18.2,2179.59,3.0,24.96299,121.51252,21.8
320,2013.25,10.4,276.449,5.0,24.95593,121.53913,33.6
321,2013.417,17.2,390.5684,5.0,24.97937,121.54245,40.1
322,2013.333,12.2,1360.139,1.0,24.95204,121.54842,26.6
323,2013.25,21.7,1157.988,0.0,24.96165,121.55011,23.8
324,2012.833,4.6,259.6607,6.0,24.97585,121.54516,53.7
325,2013.583,2.6,533.4762,4.0,24.97445,121.54765,55.0
326,2013.417,38.5,216.8329,7.0,24.98086,121.54162,41.0
327,2013.417,9.7,421.479,5.0,24.98246,121.54477,49.3
328,2012.75,0.0,208.3905,6.0,24.95618,121.53844,44.0
329,2013.167,16.2,2288.011,3.0,24.95885,121.51359,24.4
330,2012.917,8.9,1406.43,0.0,24.98573,121.52758,48.0
